username,tanggal_ulasan,komentar
Bambang Wishnu Wardhono,1 hari lalu,
eko susanto,2 hari lalu,
retno widuri,4 hari lalu,
Erhanuddin,5 hari lalu,Lumayan . . .
Pribadi Sumirat,seminggu lalu,
Damai Adi Prayitno,seminggu lalu,
Rara Latief,seminggu lalu,sll enak & fresh... staff nya ramah2 Tapi agak kurang Nyaman krn staf nya ada yg batuk batuk berulang dan kita pantau dia ga tutup pakai lengan.. dan TANPA masker..  Harap sushi tei lebih aware sm staf yg batuk/flu untuk minimal menggunakan masker yaaa.. thx
Agustinus Kurniawan,seminggu lalu,
Arianto Wibowo,seminggu lalu,
riza kristie,seminggu lalu,
dinda rachma,seminggu lalu,Apa yang kalian harapkan untuk dilihat?? Ini sushi tei! Tentu saja di atas ekspektasi Anda🫵 …
Nur Alim Ulfah Khoirul,seminggu lalu,"Makanan , pelanayan dan suasana disini paling enakk"
Alit Yulie,seminggu lalu,
Christophorus Cahyabudi,seminggu lalu,
Fitriana Arum,seminggu lalu,
nopi puspita sari,seminggu lalu,
kenanga tulodo,seminggu lalu,"dimana mana sushi tei rasanya enak. biasa di kota2 lain sushi tei didalam mall tp di jogja ini dia stand alone tdk ddlm mall jadi enak ga ribet hrs ke mall dl
tempatnya bersih, pelayanan ramah dan bisa bayar non tunai"
Prasetyo Ardi,2 minggu lalu,Ayo
Indra Darian W,2 minggu lalu,
Isnan Fahru,3 minggu lalu,Makanannya enak tempatnya oke love it
boim brokoli,3 minggu lalu,"Driver nunggu lama, padahal cuma 1 item,"
Door Anjay,3 minggu lalu,
Karni Narendra,3 minggu lalu,
andra 969,3 minggu lalu,
Risma Kurniastuti,3 minggu lalu,"Dari beberapa sushi di jogja yang pernah dicoba, ini yang terbaik🤤 …"
zee,3 minggu lalu,
A Hera,3 minggu lalu,"Lebih banyak variasi dan juga campuran
dengan cita rasa lokal"
doc 666,3 minggu lalu,Asik.. sushi tei nggak perlu masuk mall
winaldha nagara,3 minggu lalu,
Syanti Asvia,4 minggu lalu,Semua enaakkkkk...
Fiesta Cindra,4 minggu lalu,"Suka makanan, layanan, dan suasana. Disarankan untuk mencoba."
Lourentius Aditya,4 minggu lalu,Dingin
Viannisa Akira,4 minggu lalu,ya gausah diragukan lagi lah sutei mah top notch👍🏻👍🏻 …
R Bambang Irianto P Gojek,sebulan lalu,"Aman
Nyaman"
mimi riri,sebulan lalu,Semuanya bagus...
Taufan Ardiansyah,sebulan lalu,
living asia concept,sebulan lalu,👍 …
Sutopo dwi cahyono,sebulan lalu,"Fast response
Ramah pelayanannya"
Roro Ayu Kusumadevi,sebulan lalu,Favorit 🥰 …
Raksa Mandara,sebulan lalu,"dagingnya enak, tempat bersih, servicenya baik, menunya banyak, 9/10"
Rizqi Aulia Rachim,sebulan lalu,
Godwin Rozario,sebulan lalu,"Salah satu restoran Jepang terbaik di Jogjakarta, makanannya enak, pelayanannya bagus. …"
alia heriyanto,sebulan lalu,Tempat terbaik makan sushi dan sashimi di Jogja.
Dolan Wae,sebulan lalu,Suka sekali
Marheta Franceline,sebulan lalu,
Eko Yulianto,sebulan lalu,
Deivhandra Atirza Phrardyant Nugroho,sebulan lalu,"pelayanan yang sangat ramah sekalii👍, makanan yang lebih enak dibanding sushi tei yang lainnya, suasana dalam ruangan yang sangat mendukung untuk makan malam dan lighting yang sangat bagus …"
Hesti Sari,sebulan lalu,
Febriana Sulistyawati,sebulan lalu,"Driver ngga boleh nunggu didalam, suruh panas panasan diluar. Sama sama bayar padahal"
Sonia Stephanie,sebulan lalu,
ade shinta adriyani,sebulan lalu,
leo,sebulan lalu,"Pesen di gojek 2 jam lebih ga di konfirmasi, kalau ga bisa ga usah buka di gojek"
lensa reza Satria,sebulan lalu,
Muflihahfini Nurrahmah,sebulan lalu,sushinya banyak promonya 🌸🌸🌸 …
Ratu Karisma,sebulan lalu,
