username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Erhanuddin,5 hari lalu,Lumayan . . .,lumayan,-1,Negatif
Rara Latief,seminggu lalu,sll enak & fresh... staff nya ramah2 Tapi agak kurang Nyaman krn staf nya ada yg batuk batuk berulang dan kita pantau dia ga tutup pakai lengan.. dan TANPA masker..  Harap sushi tei lebih aware sm staf yg batuk/flu untuk minimal menggunakan masker yaaa.. thx,sll enak fresh staff nya ramah nyaman krn staf nya yg batuk batuk ulang pantau ga tutup pakai lengan masker harap sushi tei aware sm staf yg batuk flu minimal masker yaaa thx,-13,Negatif
dinda rachma,seminggu lalu,Apa yang kalian harapkan untuk dilihat?? Ini sushi tei! Tentu saja di atas ekspektasi Anda🫵 …,harap sushi tei ekspektasi,0,Netral
Nur Alim Ulfah Khoirul,seminggu lalu,"Makanan , pelanayan dan suasana disini paling enakk",makan pelanayan suasana enakk,4,Positif
kenanga tulodo,seminggu lalu,"dimana mana sushi tei rasanya enak. biasa di kota2 lain sushi tei didalam mall tp di jogja ini dia stand alone tdk ddlm mall jadi enak ga ribet hrs ke mall dl
tempatnya bersih, pelayanan ramah dan bisa bayar non tunai",mana sushi tei enak kota sushi tei dalam mall tp jogja stand alone tdk ddlm mall enak ga ribet hrs mall dl tempat bersih layan ramah bayar non tunai,-3,Negatif
Prasetyo Ardi,2 minggu lalu,Ayo,ayo,4,Positif
Isnan Fahru,3 minggu lalu,Makanannya enak tempatnya oke love it,makan enak tempat oke love it,2,Positif
boim brokoli,3 minggu lalu,"Driver nunggu lama, padahal cuma 1 item,",driver nunggu item,-3,Negatif
Risma Kurniastuti,3 minggu lalu,"Dari beberapa sushi di jogja yang pernah dicoba, ini yang terbaik🤤 …",sushi jogja coba baik,3,Positif
A Hera,3 minggu lalu,"Lebih banyak variasi dan juga campuran
dengan cita rasa lokal",variasi campur cita lokal,5,Positif
doc 666,3 minggu lalu,Asik.. sushi tei nggak perlu masuk mall,asik sushi tei nggak masuk mall,2,Positif
Syanti Asvia,4 minggu lalu,Semua enaakkkkk...,enaakkkkk,0,Netral
Fiesta Cindra,4 minggu lalu,"Suka makanan, layanan, dan suasana. Disarankan untuk mencoba.",suka makan layan suasana saran coba,6,Positif
Lourentius Aditya,4 minggu lalu,Dingin,dingin,2,Positif
Viannisa Akira,4 minggu lalu,ya gausah diragukan lagi lah sutei mah top notch👍🏻👍🏻 …,ya gausah ragu sutei mah top notch,2,Positif
R Bambang Irianto P Gojek,sebulan lalu,"Aman
Nyaman",aman nyaman,4,Positif
mimi riri,sebulan lalu,Semuanya bagus...,bagus,-2,Negatif
living asia concept,sebulan lalu,👍 …,,0,Netral
Sutopo dwi cahyono,sebulan lalu,"Fast response
Ramah pelayanannya",fast response ramah layan,2,Positif
Roro Ayu Kusumadevi,sebulan lalu,Favorit 🥰 …,favorit,0,Netral
Raksa Mandara,sebulan lalu,"dagingnya enak, tempat bersih, servicenya baik, menunya banyak, 9/10",daging enak bersih servicenya menu,1,Positif
Godwin Rozario,sebulan lalu,"Salah satu restoran Jepang terbaik di Jogjakarta, makanannya enak, pelayanannya bagus. …",salah restoran jepang baik jogjakarta makan enak layan bagus,-7,Negatif
alia heriyanto,sebulan lalu,Tempat terbaik makan sushi dan sashimi di Jogja.,baik makan sushi sashimi jogja,2,Positif
Dolan Wae,sebulan lalu,Suka sekali,suka,2,Positif
Deivhandra Atirza Phrardyant Nugroho,sebulan lalu,"pelayanan yang sangat ramah sekalii👍, makanan yang lebih enak dibanding sushi tei yang lainnya, suasana dalam ruangan yang sangat mendukung untuk makan malam dan lighting yang sangat bagus …",layan ramah sekali makan enak banding sushi tei suasana ruang dukung makan malam lighting bagus,4,Positif
Febriana Sulistyawati,sebulan lalu,"Driver ngga boleh nunggu didalam, suruh panas panasan diluar. Sama sama bayar padahal",driver ngga nunggu dalam suruh panas panas luar bayar,0,Netral
leo,sebulan lalu,"Pesen di gojek 2 jam lebih ga di konfirmasi, kalau ga bisa ga usah buka di gojek",sen gojek jam ga konfirmasi ga ga buka gojek,3,Positif
Muflihahfini Nurrahmah,sebulan lalu,sushinya banyak promonya 🌸🌸🌸 …,sushinya promonya,0,Netral
Nurul Afina,sebulan lalu,"Best place to eat your sushi with or without your friend

Tempat yang nyaman dan pelayanannya superrr duper ramah dan helpful banget!",best place to eat your sushi with or without your friend nyaman layan superrr duper ramah helpful banget,5,Positif
